SL. NO.,NEIGHBOURHOOD,POSTAL CODES,DISTRICT
1, Adelaide,M5H,Downtown Toronto
2,Agincourt North,M1V,Scarborough
3,Agincourt,M1S,Scarborough
4,Albion Gardens,M9V,Etobicoke
5,Alderwood,M8W,Etobicoke
6,Bathurst Manor,M3H,North York
7,Bathurst Quay,M5V,Downtown Toronto
8,Bayview Village,M2K,North York
9,Beaumond Heights,M9V,Etobicoke
10,"Bedford Park,  ,",M5M,North York
11,Berczy Park,M5E,Downtown Toronto
12,Birch Cliff,M1N,Scarborough
13,Bloordale Gardens,M9C,Etobicoke
14,Broadview North,M4J,East York
15,Brockton,M6K,West Toronto
16,Business reply mail Processing Centre,M7Y,East Toronto
17,Cabbagetown,M4X,Downtown Toronto
18,Caledonia Fairbanks,M6E,York
19,Canada Post Gateway Processing Centre,M7R,Mississauga
20,Cedarbrae,M1H,Scarborough
21,Central Bay Street,M5G,Downtown Toronto
22,Chinatown,M5T,Downtown Toronto
23,Christie,M6G,Downtown Toronto
24,Church and Wellesley,M4Y,Downtown Toronto
25,Clairlea,M1L,Scarborough
26,Clarks Corners,M1T,Scarborough
27,Cliffcrest,M1M,Scarborough
28,Cliffside West,M1N,Scarborough
29,Cliffside,M1M,Scarborough
30,Cloverdale,M9B,Etobicoke
31,CN Tower,M5V,Downtown Toronto
32,Commerce Court,M5L,Downtown Toronto
33,Davisville North,M4P,Central Toronto
34,Davisville,M4S,Central Toronto
35,Deer Park,M4V,Central Toronto
36,Del Ray,M6M,York
37,Design Exchange,M5K,Downtown Toronto
38,Don Mills,M3B,"North York,"
39,Dorset Park,M1P,Scarborough
40,Dovercourt Village,M6H,West Toronto
41,Downsview,"M3M,M3L,M3N",North York
42,Downsview North,M3H,North York
43,Downsview,M3K,North York
44,Dufferin,M6H,West Toronto
45,East Birchmount Park,M1K,Scarborough
46,East Toronto,M4J,East York
47,Emery,M9M,North York
48,Eringate,M9C,Etobicoke
49,Exhibition Place,M6K,West Toronto
50,Fairview,M2J,North York
51,First Canadian Place,M5X,Downtown Toronto
52,Forest Hill North & West,M5P,Central Toronto
53,Forest Hill Road Park,M5P,Central Toronto
54,Forest Hill SE,M4V,Central Toronto
55,Garden District,M5B,Downtown Toronto
56,Glencairn,M6B,North York
57,Golden Mile,M1L,Scarborough
58,Grange Park,M5T,Downtown Toronto
59,Guildwood,M1E,Scarborough
60,Harbord,M5S,Downtown Toronto
61,Harbourfront East,M5J,Downtown Toronto
62,Harbourfront West,M5V,Downtown Toronto
63,Harbourfront,M5A,Downtown Toronto
64,Henry Farm,M2J,North York
65,High Park,M6P,West Toronto
66,Highland Creek,M1C,Scarborough
67,Hillcrest Village,M2H,North York
68,Humber Bay Shores,M8V,Etobicoke
69,"Humber Bay, Etobicoke",M8Y,Etobicoke
70,Humber Summit,M9L,North York
71,Humber Valley Village,M9A,Etobicoke
72,Humbergate,M9V,Etobicoke
73,Humberlea,M9M,North York
74,Humewood-Cedarvale,M6C, York
75,India Bazaar,M4L,East Toronto
76,Ionview,M1K, Scarborough
77,Island airport,M5V,Downtown Toronto
78,Islington Avenue,"M9B, M9A",Etobicoke
79,Jamestown,M9V,Etobicoke
80,Keelsdale and Silverthorn,M6M, York
81,Kennedy Park,M1K,Scarborough
82,Kensington Market,M5T,Downtown Toronto
83,King and Spadina,M5V,Downtown Toronto
84,King's Mill Park,M8Y,Etobicoke
85,Kingsview Village,M9R,Etobicoke
86,Kingsway Park South East,M8Y,Etobicoke
87,Kingsway Park South West,M8Z,Etobicoke
88,L'Amoreaux East,M1V, Scarborough
89,L'Amoreaux West,M1W, Scarborough
90,Lawrence Heights,M6A,North York
91,Lawrence Manor East,M5M,North York
92,Lawrence Manor,M6A,North York
93,Lawrence Park,M4R,Central Toronto
94,Lawrence Park,M4N,Central Toronto
95,Leaside,M4G,East York
96,Little Portugal,M6J,West Toronto
97,Long Branch,M8W,Etobicoke
98,Malvern,M1B, Scarborough
99,Maple Leaf Park,M6L,North York
100,Markland Wood,M9C,Etobicoke
101,Martin Grove Gardens,M9R,Etobicoke
102,Martin Grove,M9B,Etobicoke
103,Maryvale,M1R, Scarborough
104,Milliken,M1V, Scarborough
105,Mimico NE,M8Y,Etobicoke
106,Mimico NW,M8Z,Etobicoke
107,Mimico South,M8V,Etobicoke
108,Montgomery Road,M8X,Etobicoke
109,Moore Park,M4T,Central Toronto
110,Morningside,M1E,Scarborough
111,Mount Dennis,M6M,York
112,Mount Olive,M9V,Etobicoke
113,New Toronto,M8V,Etobicoke
114,Newtonbrook,M2M,North York
115,North Midtown, M5R,Central Toronto
116,North Park,M6L,North York
117,North Toronto West,M4R,Central Toronto
118,Northwest,M9W,Etobicoke
119,Northwood Park,M3J,North York
120,Oakridge,M1L,Scarborough
121,Old Burnhamthorpe,M9C,Etobicoke
122,Old Mill North, M8X,Etobicoke
123,Old Mill South,M8Y,Etobicoke
124,Oriole,M2J,North York
125,Parkdale,M6R,West Toronto
126,Parkdale Village,M6K,West Toronto
127,Parkview Hill,M4B,East York
128,Parkwoods,M3A,North York
129,Port Union,M1C,Scarborough
130,Princess Gardens,M9B,Etobicoke
131,Queen's Park,M7A,Downtown Toronto
132,Railway Lands,M5V,Downtown Toronto
133,Rathnelly,M4V,Central Toronto
134,Reagent Park,M5A,Downtown Toronto
135,Richmond,M5H,Downtown Toronto
136,Richview Gardens, M9R,Etobicoke
137,Riverdale,M4K,East York
138,Roncesvalles,M6R,West Toronto
139,Rosedale,M4W,Downtown Toronto
140,Roselawn,M5N,Central Toronto
141,Rouge Hill,M1C,Scarborough
142,Rouge,M1B,Scarborough
143,Royal York South East,M8Y,Etobicoke
144,Royal York South West,M8Z,Etobicoke
145,Runnymede,M6S,West Toronto
146,Runnymede,M6N,York
147,Ryerson,M5B,Downtown Toronto
148,Scarborough Town Centre,M1P,Scarborough
149,Scarborough Village,M1J,Scarborough
150,Silver Hills,M2L,North York
151,Silverstone,M9V,Etobicoke
152,South Central Letter Processing Plant Toronto,M7Y,East Toronto
153,South Hill, M4V,Central Toronto
154,South Niagara,M5V,Downtown Toronto
155,South of Bloor, M8Z,Etobicoke
156,South Steeles,M9V,Etobicoke
157,St. James Town,M4X,Downtown Toronto
158,St. James Town,M5C,Downtown Toronto
159,St. Phillips,M9R,Etobicoke
160,Steeles East,M1V,Scarborough
161,Steeles West,M1W,Scarborough
162,Stn A PO Boxes  ,M5W,Downtown Toronto
163,Studio District,M4M,East Toronto
164,Sullivan,M1T,Scarborough
165,Summerhill East,M4T,Central Toronto
166,Summerhill West,M4V,Central Toronto
167,Sunnylea,M8Y,Etobicoke
168,Swansea,M6S,West Toronto
169,Tam O'Shanter,M1T,Scarborough
170,The Annex,M5R,Central Toronto
171,The Beaches West,M4L,East Toronto
172,The Beaches,M4E,East Toronto
173,The Danforth West,M4K,East York
174,The Junction North,M6N,York
175,The Junction South ,M6P,West Toronto
176,The Kingsway,M8X,Etobicoke
177,The Queensway East,M8Y,Etobicoke
178,The Queensway West,M8Z,Etobicoke
179,Thistletown,M9V,Etobicoke
180,Thorncliffe Park,M4H,East York
181,Toronto Dominion Centre,M5K,Downtown Toronto
182,Toronto Islands,M5J,Downtown Toronto
183,Trinity,M6J,West Toronto
184,Underground City,M5X,Downtown Toronto
185,Union Station,M5J,Downtown Toronto
186,University of Toronto,M5S,Downtown Toronto
187,Upper Rouge,M1X,Scarborough
188,Upwood Park,M6L,North York
189,Victoria Hotel,M5L,Downtown Toronto
190,Victoria Village,M4A,North York
191,West Deane Park,M9B,Etobicoke
192,West Hill,M1E,Scarborough
193,West Humber Clairville,M9W,Etobicoke
194,Westmount,M9P,Etobicoke
195,Weston,M9N,York
196,Wexford Heights,M1P,Scarborough
197,Wexford,M1R,Scarborough
198,Willowdale,"M2M,M2N, M2R",North York
199,Wilson Heights,M3H,North York
200,Woburn,M1G,Scarborough
201,"Woodbine Gardens,",M4B,East York
202,Woodbine Heights,M4C,East York
203,York Mills West,M2P,North York
204,York Mills,M2L,North York
205,Yorkville,M5R,Central Toronto
